Index,Number,Street Name,Details,Region,city,state
42,538,Elizabeth Street,Complex of St. Thomas the Apostle,D,Ann Arbor,Michigan
42,539,Elizabeth Street,Complex of St. Thomas the Apostle,D,Ann Arbor,Michigan
42,540,Elizabeth Street,Complex of St. Thomas the Apostle,D,Ann Arbor,Michigan
43,1111,Fair Oaks Parkway,James Petrie House,E,Ann Arbor,Michigan
44,220,North Fifth Avenue,Jacob Vandawarker House,D,Ann Arbor,Michigan
45,301,North Fifth Avenue,Baumgardner's Barn,D,Ann Arbor,Michigan
46,716,North Fifth Avenue,John Adam Volz House,D,Ann Arbor,Michigan
47,724,North Fifth Avenue,Central Brewery,D,Ann Arbor,Michigan
48,415,South Fifth Avenue,Gaskell/Beakes House,D,Ann Arbor,Michigan
49,120,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,121,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,122,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,123,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,124,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,125,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,126,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,127,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,128,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,129,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
49,130,South First Street,Allmendinger Organ Factory,D,Ann Arbor,Michigan
50,206,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,207,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,208,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,209,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,210,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,211,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,212,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,213,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,214,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,215,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,216,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,217,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,218,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,219,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,220,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,221,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
50,222,South First Street,City Brewery/Ann Arbor Central Mills,D,Ann Arbor,Michigan
51,632,South First Street,Raab/Harlacher House,W,Ann Arbor,Michigan
52,106,North Fourth Avenue,Land Title Building,D,Ann Arbor,Michigan
53,209,North Fourth Avenue,Kayser Block,D,Ann Arbor,Michigan
53,210,North Fourth Avenue,Kayser Block,D,Ann Arbor,Michigan
53,211,North Fourth Avenue,Kayser Block,D,Ann Arbor,Michigan
54,632,North Fourth Avenue,Bethel AME Church,D,Ann Arbor,Michigan
55,111,South Fourth Avenue,Heinrich Building,D,Ann Arbor,Michigan
56,402,South Fourth Avenue,Ottmar Eberbach House,D,Ann Arbor,Michigan
57,403,South Fourth Avenue,Joe T. Jacobs House (Muehlig Funeral Chapel),D,Ann Arbor,Michigan
58,423,South Fourth Avenue,Bethlehem Church,D,Ann Arbor,Michigan
59,445,South Fourth Avenue,George and Emma Wahr House,D,Ann Arbor,Michigan
60,405,Fourth Street,John Keck and Company (Argus Building),W,Ann Arbor,Michigan
61,916,Fuller Road,Washtenaw Light and Power Building,D,Ann Arbor,Michigan
62,2940,Fuller Road,Orrin White House,N,Ann Arbor,Michigan
63,1808,Hermitage Road,Marvin Ives House (The Hermitage),E,Ann Arbor,Michigan
64,504,High Street,Union Church,D,Ann Arbor,Michigan
65,2301,Highland Road,James Inglis House,E,Ann Arbor,Michigan
66,1310,Hill Street,Edward Campbell House,E,Ann Arbor,Michigan
67,1315,Hill Street,Amariah Freeman House,E,Ann Arbor,Michigan
68,1331,Hill Street,Delta Upsilon Fraternity,E,Ann Arbor,Michigan
69,1335,Hill Street,Farwell Wilson House,E,Ann Arbor,Michigan
70,1410,Hill Street,Paul C. Freer House (Schearer House),E,Ann Arbor,Michigan
71,1530,Hill Street,J. D. Baldwin House,E,Ann Arbor,Michigan
72,206,East Huron Street,Ann Arbor Tribune Building (Kleinschmidt Insurance Company),D,Ann Arbor,Michigan
73,219,East Huron Street,Firemen's Hall,D,Ann Arbor,Michigan
74,412,East Huron Street,Asahel Parkhurst House,D,Ann Arbor,Michigan
75,502,East Huron Street,Silas Douglass House,D,Ann Arbor,Michigan
76,512,East Huron Street,First Baptist Church,D,Ann Arbor,Michigan
77,617,East Huron Street,Harris Hall,D,Ann Arbor,Michigan
78,903,East Huron Street,Harvey Bannister House,D,Ann Arbor,Michigan
79,1007,East Huron Street,Charles Whitman House,D,Ann Arbor,Michigan
80,116,West Huron Street,Ann Arbor Bus Depot,D,Ann Arbor,Michigan
81,709,West Huron Street,John N. Gott House,W,Ann Arbor,Michigan
82,921,West Huron Street,Martin and Helena Noll House,W,Ann Arbor,Michigan
83,1020,West Huron Street,John M. Wheeler House,W,Ann Arbor,Michigan
84,114,North Ingalls Street,John and Electa Carman House,D,Ann Arbor,Michigan
85,220,North Ingalls Street,Phi Rho Sigma Fraternity,D,Ann Arbor,Michigan
86,321,North Ingalls Street,Reuben Kempf House,D,Ann Arbor,Michigan
87,420,West Jefferson Street,J. Frederick Schaeberle House,W,Ann Arbor,Michigan
88,520,West Jefferson Street,First German Methodist Church (Reorganized Church of Jesus Christ of Latter Day Saints),W,Ann Arbor,Michigan
89,1327,Jones Drive,Northern Brewery,N,Ann Arbor,Michigan
90,324,East Kingsley Street,North District Public School,D,Ann Arbor,Michigan
90,325,East Kingsley Street,North District Public School,D,Ann Arbor,Michigan
90,326,East Kingsley Street,North District Public School,D,Ann Arbor,Michigan
91,407,East Kingsley Street,John Lawrence House,D,Ann Arbor,Michigan
92,809,East Kingsley Street,Kingsley Apartments,D,Ann Arbor,Michigan
93,401,Lawrence Street,David Rinsey House,D,Ann Arbor,Michigan
94,601,Lawrence Street,Margaret Kearney House,D,Ann Arbor,Michigan
94,602,Lawrence Street,Margaret Kearney House,D,Ann Arbor,Michigan
94,603,Lawrence Street,Margaret Kearney House,D,Ann Arbor,Michigan
95,602,Lawrence Street,Thomas and Margaret Mitchell House (Gregory House),D,Ann Arbor,Michigan
96,221,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
96,222,East Liberty Street,Zwerdling-Darling Block,D,Ann Arbor,Michigan
