Index,Number,Street Name,Details,Region,city,state
108,818,West Liberty Street,John Hagen House,W,Ann Arbor,Michigan
109,902,West Liberty Street,Christian Walker House,W,Ann Arbor,Michigan
110,1422,West Liberty Street,Robert MacKenzie House (Anna Botsford Bach Home),W,Ann Arbor,Michigan
111,1444,West Liberty Street,Jacob Beck House,W,Ann Arbor,Michigan
112,219,North Main Street,Pardon Blocks,D,Ann Arbor,Michigan
112,220,North Main Street,Pardon Blocks,D,Ann Arbor,Michigan
112,221,North Main Street,Pardon Blocks,D,Ann Arbor,Michigan
112,222,North Main Street,Pardon Blocks,D,Ann Arbor,Michigan
112,223,North Main Street,Pardon Blocks,D,Ann Arbor,Michigan
113,220,North Main Street,United States Post Office,D,Ann Arbor,Michigan
114,301,North Main Street,Dr. Chase's Steam Printing House,D,Ann Arbor,Michigan
114,302,North Main Street,Dr. Chase's Steam Printing House,D,Ann Arbor,Michigan
114,303,North Main Street,Dr. Chase's Steam Printing House,D,Ann Arbor,Michigan
114,304,North Main Street,Dr. Chase's Steam Printing House,D,Ann Arbor,Michigan
114,305,North Main Street,Dr. Chase's Steam Printing House,D,Ann Arbor,Michigan
115,415,North Main Street,Thomas Earl House,D,Ann Arbor,Michigan
116,500,North Main Street,Kellogg-Warden House,D,Ann Arbor,Michigan
117,100,South Main Street,Glazier Building,D,Ann Arbor,Michigan
118,120,South Main Street,Bank Block (Goodyear's),D,Ann Arbor,Michigan
118,121,South Main Street,Bank Block (Goodyear's),D,Ann Arbor,Michigan
118,122,South Main Street,Bank Block (Goodyear's),D,Ann Arbor,Michigan
118,123,South Main Street,Bank Block (Goodyear's),D,Ann Arbor,Michigan
118,124,South Main Street,Bank Block (Goodyear's),D,Ann Arbor,Michigan
119,126,South Main Street,Philip Bach Building,D,Ann Arbor,Michigan
120,201,South Main Street,First National Bank Building,D,Ann Arbor,Michigan
120,202,South Main Street,First National Bank Building,D,Ann Arbor,Michigan
120,203,South Main Street,First National Bank Building,D,Ann Arbor,Michigan
121,301,South Main Street,Henry Binder's Hall,D,Ann Arbor,Michigan
122,319,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,320,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,321,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,322,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,323,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,324,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
122,325,South Main Street,Marchese Brothers Building,D,Ann Arbor,Michigan
123,723,Moore Street,Waite-Kellogg House,N,Ann Arbor,Michigan
124,415,Observatory Street,Forest Hill Cemetery,E,Ann Arbor,Michigan
125,227,Orchard H1ills Drive,William and Mary Palmer House,E,Ann Arbor,Michigan
126,700,Oxford Road,Albert Lockwood House (Sigma Nu),E,Ann Arbor,Michigan
127,120,Packard Road,William W. Wines House (Dean House),D,Ann Arbor,Michigan
128,2301,Packard Road,William Anderson House and Wisdom Chapel,E,Ann Arbor,Michigan
129,2600,Packard Road,Stone School,E,Ann Arbor,Michigan
130,2781,Packard Road,Benajah Ticknor Farm (Cobblestone Farm),E,Ann Arbor,Michigan
131,1324,Pontiac Trail,Jonathan Lund House,N,Ann Arbor,Michigan
132,1425,Pontiac Trail,Guy Beckley House,N,Ann Arbor,Michigan
133,1709,Pontiac Trail,Josiah Beckley House,N,Ann Arbor,Michigan
134,1136,Prospect Street,Samuel Miller House,E,Ann Arbor,Michigan
135,631,Second Street,Wiegant-Hochrein House,W,Ann Arbor,Michigan
136,502,Sixth Street,John Lucas House,W,Ann Arbor,Michigan
137,100,North State Street,First Unitarian Church,D,Ann Arbor,Michigan
138,110,North State Street,First Unitarian Church Parsonage,D,Ann Arbor,Michigan
139,200,and 322 North State Street,Wil-Dean and Duncan Manor Apartments,D,Ann Arbor,Michigan
140,307,North State Street,Hanorah and Ellen Morse House,D,Ann Arbor,Michigan
141,406,North State Street,Enoch and Keziah Terhune House,D,Ann Arbor,Michigan
142,410,North State Street,Society of Friends Meeting House,D,Ann Arbor,Michigan
143,418,North State Street,Newton A. Prudden House,D,Ann Arbor,Michigan
144,231,South State Street,State Theater,D,Ann Arbor,Michigan
145,326,South State Street,Nickels Arcade,D,Ann Arbor,Michigan
145,327,South State Street,Nickels Arcade,D,Ann Arbor,Michigan
145,328,South State Street,Nickels Arcade,D,Ann Arbor,Michigan
146,434,South State Street,Newberry Hall,D,Ann Arbor,Michigan
147,730,Tappan Street,Memorial Christian Church,E,Ann Arbor,Michigan
147,731,Tappan Street,Memorial Christian Church,E,Ann Arbor,Michigan
147,732,Tappan Street,Memorial Christian Church,E,Ann Arbor,Michigan
147,733,Tappan Street,Memorial Christian Church,E,Ann Arbor,Michigan
147,734,Tappan Street,Memorial Christian Church,E,Ann Arbor,Michigan
148,206,North Thayer Street,Thomas Ready House,D,Ann Arbor,Michigan
149,210,North Thayer Street,Patrick O'Hearn House,D,Ann Arbor,Michigan
150,212,Third Street,Katherine Staeb House,W,Ann Arbor,Michigan
151,331,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,332,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,333,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,334,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,335,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,336,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,337,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,338,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
151,339,Thompson Street,St. Mary's Student Chapel,D,Ann Arbor,Michigan
152,1219,Traver Street,Solomon and Jacob Armstrong Houses,N,Ann Arbor,Michigan
152,1223,Traver Street,Solomon and Jacob Armstrong Houses,N,Ann Arbor,Michigan
153,619,East University Avenue,Anberay Apartments,E,Ann Arbor,Michigan
154,815,South University Avenue,University of Michigan President's House,E,Ann Arbor,Michigan
155,947,Wall Street,Nathan Burnham House,N,Ann Arbor,Michigan
156,201,East Washington Street,Hoelzle Meat Market,D,Ann Arbor,Michigan
157,216,East Washington Street,Frederick Sorg Block,D,Ann Arbor,Michigan
157,217,East Washington Street,Frederick Sorg Block,D,Ann Arbor,Michigan
157,218,East Washington Street,Frederick Sorg Block,D,Ann Arbor,Michigan
158,219,East Washington Street,Weinmann Block,D,Ann Arbor,Michigan
158,220,East Washington Street,Weinmann Block,D,Ann Arbor,Michigan
158,221,East Washington Street,Weinmann Block,D,Ann Arbor,Michigan
159,315,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,316,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,317,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,318,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,319,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,320,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,321,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,322,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
159,323,East Washington Street,Michigan Bell Telephone Company,D,Ann Arbor,Michigan
160,322,East Washington Street,Jacob Hoffstetter House,D,Ann Arbor,Michigan
161,332,East Washington Street,Methodist Episcopal Parsonage,D,Ann Arbor,Michigan
162,411,East Washington Street,Albert Polhemus House,D,Ann Arbor,Michigan
162,412,East Washington Street,Albert Polhemus House,D,Ann Arbor,Michigan
162,413,East Washington Street,Albert Polhemus House,D,Ann Arbor,Michigan
163,119,West Washington Street,Germania Hotel,D,Ann Arbor,Michigan
163,120,West Washington Street,Germania Hotel,D,Ann Arbor,Michigan
163,121,West Washington Street,Germania Hotel,D,Ann Arbor,Michigan
163,122,West Washington Street,Germania Hotel,D,Ann Arbor,Michigan
163,123,West Washington Street,Germania Hotel,D,Ann Arbor,Michigan
164,122,West Washington Street,John Wagner Jr. Blacksmith Shop,D,Ann Arbor,Michigan
165,719,West Washington Street,David F. Allmendinger House,W,Ann Arbor,Michigan
166,1443,Washtenaw Avenue,Phi Kappa Sigma Fraternity (Trotter House),E,Ann Arbor,Michigan
167,1547,Washtenaw Avenue,Henry Simmons Frieze House,E,Ann Arbor,Michigan
168,1550,Washtenaw Avenue,Phi Kappa Psi Fraternity (Zeta Tau Alpha Sorority),E,Ann Arbor,Michigan
169,1555,Washtenaw Avenue,Edward Campbell House (Campbell-Hays House),E,Ann Arbor,Michigan
170,1850,Washtenaw Avenue,Edward Adams House,E,Ann Arbor,Michigan
171,1917,Washtenaw Avenue,Dean Myers House (First Unitarian Church),E,Ann Arbor,Michigan
172,2015,Washtenaw Avenue,Leander Hoover Mansion,E,Ann Arbor,Michigan
173,2117,Washtenaw Avenue,Bell-Spaulding House (Tuomy House),E,Ann Arbor,Michigan
174,2220,Washtenaw Avenue,Hildene Manor,E,Ann Arbor,Michigan
175,2460,Washtenaw Avenue,Tuomy Hills Gas Station,E,Ann Arbor,Michigan
176,608,East William Street,First Congregational Church,D,Ann Arbor,Michigan
177,611,East William Street,DKE Shant,D,Ann Arbor,Michigan
178,1115,Woodlawn Street,Christian Eberbach House,E,Ann Arbor,Michigan
